epoch,f1-score,iou_score,learning_rate,loss,softmax_loss,val_f1-score,val_iou_score,val_loss,val_softmax_loss
0,0.03903915360569954,0.020559106022119522,9.999999747378752e-05,2.8424253463745117,0.0,0.010027468204498291,0.005144297145307064,2.869635820388794,0.0
1,0.06938385218381882,0.03897567838430405,9.999999747378752e-05,2.7777724266052246,0.0,0.019362956285476685,0.010182113386690617,2.848957061767578,0.0
2,0.08962202072143555,0.05151434615254402,9.999999747378752e-05,2.7259185314178467,0.0,0.021994173526763916,0.011637038551270962,2.8246288299560547,0.0
3,0.12996140122413635,0.07507724314928055,9.999999747378752e-05,2.6784751415252686,0.0,0.03893961384892464,0.022162113338708878,2.783501386642456,0.0
4,0.16229400038719177,0.097126804292202,9.999999747378752e-05,2.6348917484283447,0.0,0.08144405484199524,0.04982229322195053,2.734969139099121,0.0
5,0.1735745370388031,0.1040821298956871,9.999999747378752e-05,2.5517070293426514,0.0,0.15207520127296448,0.10526774823665619,2.6783289909362793,0.0
6,0.18584035336971283,0.11297230422496796,9.999999747378752e-05,2.4742305278778076,0.0,0.12355067580938339,0.0782129168510437,2.6449642181396484,0.0
7,0.17509868741035461,0.10338638722896576,9.999999747378752e-05,2.499066114425659,0.0,0.11312025785446167,0.06781820952892303,2.619211196899414,0.0
8,0.1836375594139099,0.11190996319055557,9.999999747378752e-05,2.4317004680633545,0.0,0.12807972729206085,0.07461772859096527,2.6362338066101074,0.0
9,0.22063866257667542,0.1361112892627716,9.999999747378752e-05,2.3427681922912598,0.0,0.13158026337623596,0.08013729751110077,2.5912766456604004,0.0
10,0.23094120621681213,0.1390332281589508,9.999999747378752e-05,2.35072922706604,0.0,0.15622463822364807,0.08935859799385071,2.559661865234375,0.0
11,0.2722737193107605,0.16766999661922455,9.999999747378752e-05,2.2780697345733643,0.0,0.1409936249256134,0.08253538608551025,2.5618884563446045,0.0
12,0.28535640239715576,0.17920157313346863,9.999999747378752e-05,2.2328941822052,0.0,0.15734823048114777,0.0946372002363205,2.541325569152832,0.0
13,0.28933435678482056,0.17909367382526398,9.999999747378752e-05,2.23756742477417,0.0,0.16627895832061768,0.09675305336713791,2.560590982437134,0.0
14,0.3035215437412262,0.18834254145622253,9.999999747378752e-05,2.2224843502044678,0.0,0.2431398630142212,0.14384211599826813,2.4437785148620605,0.0
15,0.33771392703056335,0.2184949368238449,9.999999747378752e-05,2.0800418853759766,0.0,0.2719203233718872,0.16071036458015442,2.4578304290771484,0.0
16,0.3332480490207672,0.2146734893321991,9.999999747378752e-05,2.0818066596984863,0.0,0.29184824228286743,0.17471887171268463,2.4006381034851074,0.0
17,0.3379979133605957,0.2160772979259491,9.999999747378752e-05,2.0993971824645996,0.0,0.30719804763793945,0.19303934276103973,2.282761812210083,0.0
18,0.33357900381088257,0.21142935752868652,9.999999747378752e-05,2.092989921569824,0.0,0.3648521900177002,0.2288597822189331,2.3426809310913086,0.0
19,0.3268180787563324,0.20747056603431702,9.999999747378752e-05,2.1262006759643555,0.0,0.3478124141693115,0.21927177906036377,2.3345654010772705,0.0
20,0.3408055305480957,0.21969833970069885,9.999999747378752e-05,2.0662484169006348,0.0,0.3179367780685425,0.1945812702178955,2.26511549949646,0.0
